"observation","time_period","ref_area","indicator","breakdown","unit_measure","value","flag","note"
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1b_fbbc/desi_1b1_fbbc/egov_score/IT/2020","2020","IT","desi_1b_fbbc","desi_1b1_fbbc","egov_score",29.6317,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1b_fbbc/desi_1b1_fbbc/egov_score/SI/2020","2020","SI","desi_1b_fbbc","desi_1b1_fbbc","egov_score",28.9692,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1b_fbbc/desi_1b2_vhcnc/egov_score/DE/2020","2020","DE","desi_1b_fbbc","desi_1b2_vhcnc","egov_score",21.8033,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1b_fbbc/desi_1b2_vhcnc/egov_score/ES/2020","2020","ES","desi_1b_fbbc","desi_1b2_vhcnc","egov_score",59.36,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1b_fbbc/desi_1b2_vhcnc/egov_score/FI/2020","2020","FI","desi_1b_fbbc","desi_1b2_vhcnc","egov_score",38.814,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1b_fbbc/desi_1b2_vhcnc/egov_score/FR/2020","2020","FR","desi_1b_fbbc","desi_1b2_vhcnc","egov_score",29.1758,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1_conn/desi_1b_fbbc/egov_score/BE/2020","2020","BE","desi_1_conn","desi_1b_fbbc","egov_score",19.3376,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1_conn/desi_1b_fbbc/egov_score/CY/2020","2020","CY","desi_1_conn","desi_1b_fbbc","egov_score",10.0241,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1_conn/desi_1b_fbbc/egov_score/MT/2020","2020","MT","desi_1_conn","desi_1b_fbbc","egov_score",25,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c_mbb/desi_1c1_4g/egov_score/IE/2020","2020","IE","desi_1c_mbb","desi_1c1_4g","egov_score",24.68,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c_mbb/desi_1c1_4g/egov_score/LV/2020","2020","LV","desi_1c_mbb","desi_1c1_4g","egov_score",24.8292,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c_mbb/desi_1c2_mbbtu/egov_score/CY/2020","2020","CY","desi_1c_mbb","desi_1c2_mbbtu","egov_score",13.177,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c_mbb/desi_1c2_mbbtu/egov_score/MT/2020","2020","MT","desi_1c_mbb","desi_1c2_mbbtu","egov_score",8.26189,,
