"ITTER107","Territory","VARICT","Data type","ATECO_2007","NACE 2007","CLLVT","Size classes of persons employed","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","E_CC_PEM_PERC","e-mail","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W100_249","100-249","2018","2018",33.48,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE250","250 and over","2018","2018",42.04,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W10_49","10-49","2018","2018",18.23,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W_GE10","10 and over","2018","2018",22.13,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W50_99","50-99","2018","2018",27.68,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W100_249","100-249","2018","2018",35.2,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W_GE250","250 and over","2018","2018",43.44,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0049","transport and storage, except warehousing and support activities for transportation (h except 53)","W_GE10","10 and over","2018","2018",13.11,,
"IT","Italy","E_CC_PSOFT_PERC","office software (e.g. word processors, spreadsheets, etc.)","C","manufacturing","W10_49","10-49","2018","2018",7.52,,
"IT","Italy","E_CC_PSOFT_PERC","office software (e.g. word processors, spreadsheets, etc.)","C","manufacturing","W_GE10","10 and over","2018","2018",9.05,,
"IT","Italy","E_CC_PSOFT_PERC","office software (e.g. word processors, spreadsheets, etc.)","C","manufacturing","W50_99","50-99","2018","2018",14.47,,
"IT","Italy","E_CC_PSOFT_PERC","office software (e.g. word processors, spreadsheets, etc.)","C","manufacturing","W100_249","100-249","2018","2018",19.35,,
"IT","Italy","E_CC_PSOFT_PERC","office software (e.g. word processors, spreadsheets, etc.)","C","manufacturing","W_GE250","250 and over","2018","2018",32.49,,
"IT","Italy","E_CC_PSOFT_PERC","office software (e.g. word processors, spreadsheets, etc.)","F","construction","W10_49","10-49","2018","2018",8.69,,
"IT","Italy","E_CC_PSOFT_PERC","office software (e.g. word processors, spreadsheets, etc.)","F","construction","W_GE10","10 and over","2018","2018",9.22,,
"IT","Italy","E_CC_PSOFT_PERC","office software (e.g. word processors, spreadsheets, etc.)","F","construction","W50_99","50-99","2018","2018",12.05,,
"IT","Italy","E_CC_PSOFT_PERC","office software (e.g. word processors, spreadsheets, etc.)","F","construction","W100_249","100-249","2018","2018",27.38,,
"IT","Italy","E_CC_PSOFT_PERC","office software (e.g. word processors, spreadsheets, etc.)","F","construction","W_GE250","250 and over","2018","2018",31.45,,
"IT","Italy","E_CC_PSOFT_PERC","office software (e.g. word processors, spreadsheets, etc.)","G","wholesale and retail trade repair of motor vehicles and motorcycles","W_GE10","10 and over","2018","2018",11.39,,
"IT","Italy","E_CC_PSOFT_PERC","office software (e.g. word processors, spreadsheets, etc.)","CA","manufacture of food products, beverages and tobacco products","W_GE10","10 and over","2018","2018",7.57,,
"IT","Italy","E_CC_PSOFT_PERC","office software (e.g. word processors, spreadsheets, etc.)","CB","manufacture of textiles, apparel, leather and related products","W_GE10","10 and over","2018","2018",3.97,,
"IT","Italy","E_CC_PSOFT_PERC","office software (e.g. word processors, spreadsheets, etc.)","CC","manufacture of wood and paper products, and printing","W_GE10","10 and over","2018","2018",8.41,,
"IT","Italy","E_CC_PSOFT_PERC","office software (e.g. word processors, spreadsheets, etc.)","CH","manufacture of basic metals and fabricated metal products, except machinery and equipment","W_GE10","10 and over","2018","2018",6.98,,
"IT","Italy","E_CC_PSOFT_PERC","office software (e.g. word processors, spreadsheets, etc.)","CL","manufacture of transport equipment","W_GE10","10 and over","2018","2018",6.7,,
"IT","Italy","E_CC_PSOFT_PERC","office software (e.g. word processors, spreadsheets, etc.)","CM","other manufacturing, and repair and installation of machinery and equipment","W_GE10","10 and over","2018","2018",15.1,,
"IT","Italy","E_CC_PSOFT_PERC","office software (e.g. word processors, spreadsheets, etc.)","JC","it and other information services","W_GE10","10 and over","2018","2018",32.63,,
"IT","Italy","E_CC_PSOFT_PERC","office software (e.g. word processors, spreadsheets, etc.)","26","manufacture of computer, electronic and optical products","W_GE10","10 and over","2018","2018",13.29,,
"IT","Italy","E_CC_PSOFT_PERC","office software (e.g. word processors, spreadsheets, etc.)","53","postal and courier activities","W_GE10","10 and over","2018","2018",1.86,,
"IT","Italy","E_CC_PSOFT_PERC","office software (e.g. word processors, spreadsheets, etc.)","55","accommodation ","W_GE10","10 and over","2018","2018",9.81,,
"IT","Italy","E_CC_PSOFT_PERC","office software (e.g. word processors, spreadsheets, etc.)","56","food service activities","W_GE10","10 and over","2018","2018",3.49,,
"IT","Italy","E_CC_PSOFT_PERC","office software (e.g. word processors, spreadsheets, etc.)","58","publishing activities","W_GE10","10 and over","2018","2018",27.88,,
"IT","Italy","E_CC_PSOFT_PERC","office software (e.g. word processors, spreadsheets, etc.)","61","telecommunications","W_GE10","10 and over","2018","2018",33.39,,
"IT","Italy","E_CC_PSOFT_PERC","office software (e.g. word processors, spreadsheets, etc.)","68","real estate activities","W_GE10","10 and over","2018","2018",16.88,,
