"ITTER107","Territory","VARICT","Data type","ATECO_2007","NACE 2007","CLLVT","Size classes of persons employed","TIME","Select time","Value","Flag Codes","Flags"
"ITD","Nord-est","E_INV3SBG_EMP_GT0_PERC","enterprises sending invoices to other eneterprises or government using electronic invoice not suitable for automated processing - (electronic not suitable) (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2018","2018",72.38,,
"ITE","Centro (I)","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2018","2018",82.31,,
"ITE","Centro (I)","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2018","2018",40.18,,
"ITE","Centro (I)","E_INV3SBG_EMP_GT0_PERC","enterprises sending invoices to other eneterprises or government using electronic invoice not suitable for automated processing - (electronic not suitable) (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2018","2018",62.79,,
"ITFG","Mezzogiorno","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2018","2018",87.37,,
"ITFG","Mezzogiorno","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2018","2018",48.5,,
"ITFG","Mezzogiorno","E_INV3SBG_EMP_GT0_PERC","enterprises sending invoices to other eneterprises or government using electronic invoice not suitable for automated processing - (electronic not suitable) (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2018","2018",62.67,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","47","retail trade, except of motor vehicles and motorcycles","W_GE10","10 and over","2018","2018",90.47,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","47","retail trade, except of motor vehicles and motorcycles","W_GE10","10 and over","2018","2018",43.71,,
"IT","Italy","E_INV3SBG_EMP_GT0_PERC","enterprises sending invoices to other eneterprises or government using electronic invoice not suitable for automated processing - (electronic not suitable) (percentages)","47","retail trade, except of motor vehicles and motorcycles","W_GE10","10 and over","2018","2018",54.48,,
