"ITTER107","Territory","VARICT","Data type","ATECO_2007","NACE 2007","CLLVT","Size classes of persons employed","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","E_ITSP2_PERC","enterprises employing ICT/IT specialists (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W10_49","10-49","2019","2019",11.83,,
"IT","Italy","E_ITSP2_PERC","enterprises employing ICT/IT specialists (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",15.97,,
"IT","Italy","E_ITSP2_PERC","enterprises employing ICT/IT specialists (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W50_99","50-99","2019","2019",36.24,,
"IT","Italy","E_ITSP2_PERC","enterprises employing ICT/IT specialists (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W100_249","100-249","2019","2019",54.98,,
"IT","Italy","E_ITSP2_PERC","enterprises employing ICT/IT specialists (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE250","250 and over","2019","2019",73.11,,
"IT","Italy","E_ITSP2_PERC","enterprises employing ICT/IT specialists (percentages)","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W10_49","10-49","2019","2019",15.88,,
"IT","Italy","E_ITSP2_PERC","enterprises employing ICT/IT specialists (percentages)","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W_GE10","10 and over","2019","2019",22.96,,
"IT","Italy","E_ITSP2_PERC","enterprises employing ICT/IT specialists (percentages)","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W50_99","50-99","2019","2019",28.03,,
"IT","Italy","E_ITSP2_PERC","enterprises employing ICT/IT specialists (percentages)","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W100_249","100-249","2019","2019",51.55,,
"IT","Italy","E_ITSP2_PERC","enterprises employing ICT/IT specialists (percentages)","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W_GE250","250 and over","2019","2019",66.26,,
"IT","Italy","E_ITSP2_PERC","enterprises employing ICT/IT specialists (percentages)","0049","transport and storage, except warehousing and support activities for transportation (h except 53)","W_GE10","10 and over","2019","2019",9.35,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","C","manufacturing","W10_49","10-49","2019","2019",3.6,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","C","manufacturing","W_GE10","10 and over","2019","2019",6.06,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","C","manufacturing","W50_99","50-99","2019","2019",14.01,,
